Name,Position,SS Number,Year,Party Number,Class,Label
Hans Josef Kieffer,Deputy Gestapo leader in France,280104,,2632427,2.4,Sturmbannführer
Ludwig Kepplinger,Waffen-SS sergeant,,,,2.4,Sturmbannführer
Wilhelm Kment,Commander  1st Company  2nd SS Panzer Division Das ReichDecorated personally by Himmler,167103,Prior to 1935,4262124,2.4,Sturmbannführer
Werner Knab,Gestapo chief in NorwayCommander of the Security Police in Lyon  France,191584,1935,3269940,2.4,Sturmbannführer
Dr. Richard Korherr,Born 30 October 1903. Chief inspector of the statistical bureau of the SS. Author of the Korherr Report. Died 24 November 1989.,,,,2.4,Sturmbannführer
Horst Kopkow,Born 29 November 1910 Ortelsburg East Prussia. Counterintelligence against Spy rings such as Red Orchestra and MI6 and SOE agents-of which he was authorized executions of said agents; Postwar employee of MI6. Died 13 October 1996. Glenskirchen Germany.,46034,1931,607161,2.4,Sturmbannführer
Hans Kraus,born 6.01.1904 Riga Latvia. SS major,357289,1 June 1940,,2.4,Sturmbannführer
Bernhard Krüger,Born 26 November 1904. Leader of VI F4A (RSHA) aka Operation Bernhard. Detained by the British after the War and turned over to the French; released; acquitted at Denazilization hearing. Died 1989.,,,528729,2.4,Sturmbannführer
Dr. Helmut Kunz,Dentist and head of Waffen SS medical Office,284787,1936,5104323,2.4,Sturmbannführer
Dr. Rudolf Lange,Einsatzgruppe A  Einsatzkommando 2 Commander (3 December 1941 – 1944),290308,1936,,2.4,Sturmbannführer
Hans Latza,HSSP Norway,129260,,2180945,2.4,Sturmbannführer
Ernst Lerch,Chief of Odilo Globočnik's office during Operation Reinhard  later as Stabsführer then Sturmbannführer,309 700,1 March 1934,1 327 396,2.4,Sturmbannführer
Hans-Georg Mayer,Commandant of Palbianice ghetto in occupied Poland.,367 767,1 August 1940,3 069 636,2.4,Sturmbannführer
Johann Miesel,Born 1914. Postwar a government official and Mayor's representative of Grömitz. Defendant in 1957 trial of March 1945 Amsberger Massacre. in 1958 found guilty only of aiding and abetting manslaughter. Miesel was only slightly involved in the crime and also disapproved of Kammler's order. Since the expected sentence would be less than three years  the court decided to apply Paragraph 4 of the Impunity Act 1954. Sentenced to four years in prison on 5 May 1961;sat in Neumünster for six months,,,,2.4,Sturmbannführer
Georg Konrad Morgen,Born 8 June 1909. SS judge and lawyer. Died 4 February 1982,,,,2.4,Sturmbannführer
Alfred Naujocks,Born 20 September 1911 An SD commander  leader of the Gleiwitz incident. died 4 April 1966,624279,1930 or 1931,26246,2.4,Sturmbannführer
Alexander Bernhard Hans Piorkowski,Born 11 October 1904. Commandant of KZ Dachau. Executed 22 October 1948.,8 737,1 June 1933,161 437,2.4,Sturmbannführer
Dr. Kurt Plötner,Born 19 October 1905. Involved in Human Experiments. Postwar recruited by the CIA. Died 26 February 1984.,,,,2.4,Sturmbannführer
Paul Otto Radomski,born 21 September 1902. Commandant of the Syrets concentration camp and Haidari concentration camp. Relieved of command in 1944. Reported died 14 March 1945,2.235,,96.942,2.4,Sturmbannführer
Karl Rahm,Commandant of the Theresienstadt concentration camp,,,,2.4,Sturmbannführer
Walter Reder,born 4 Feb 1915 Czechoslovakia. May have been involved in suppression of Warsaw Ghetto Uprising in 1943 and was definitely involved in Marzabotto massacre of 1944. Sentenced to life in prison in 1951 and released in 1985. Died 26 April 1991,,,,2.4,Sturmbannführer
Ludwig Ruckdeschel,Born 15 March 1907. The Nazi Gauleiter of Bayreuth. Arrested 1947-sentenced to 8 years; 1949 sentence changed to 13 years. Released 1952. Died 8 November 1986,234.190,20 Oct 1934,,2.4,Sturmbannführer
August Schiffer,Tried and executed 26 July 1946 in killing U.S. Soldier Roderick Stephen Hall and murders of six other Allied soldiers,,,,2.4,Sturmbannführer
Johannes Claus Schmidt,Born 11 March 1908. Member of SD-section OST and SD-section III. Involved in killing of Kurt von Schleicher 30 June 1934. Died 23 December 1976.,,30 June 1933,,2.4,Sturmbannführer
Philipp Johann Adolf Schmitt,born 10 November 1902. Commandant of the concentration camp Fort Breendonk and the SS-Sammellager Mecheln. Tried and Executed 9 August 1950,44291,March 1932,19192,2.4,Sturmbannführer
Joseph Tobias Schreieder,Born 15 August 1904. With German Intelligence Officer Hermann Giskes he ran the Englandspiel operation in which over 50 Dutch Agents were captured due to SOE refusal to follow its own Security checks. Postwar worked for the Ghelen Org.,,15 August 1934,,2.4,Sturmbannführer
Dr. Horst Schumann,Born 1 May 1906. Physician involved in human Experiments. Tried 1970–1971; released from prison 1972. Died 5 May 1983,,,190.002,2.4,Sturmbannführer
Christian Shnug,Born 28 January 1891. Member of Lebensborn e.V.Commander of I. Sturmbann of SS-Standarte 27 (as per SS-DAL of 1 July 1935 and of 1 Dec. 1936);Attached to the Staff of Abschnitt XII (as per SS-DAL of 1 Dec. 38); Commander of II. Sturmbann of 118th SS-Standarte (as per SS-DAL of 1 Oct. 42);Commander of II. Sturmbann of 116th SS-Standarte (as per SS-DAL of 1 Oct. 43 and of 1 Oct. 44). Living 1972 reported died several years later.,25738,,765 687,2.4,Sturmbannführer
Otto Skorzeny,Waffen SS/RSHA commando leader,295979,,,2.4,Sturmbannführer
Karl Julian Sommer,Born 25 March 1915. At Pohl Trial-sentenced to hang; commuted to lifetime imprisonment in 1949;commuted to 20 years in 1951. Released 11 December 1953,,,,2.4,Sturmbannführer
Franz Sprinz,Einsatzkommando 10b (January–May 1945),,,,2.4,Sturmbannführer
Walter Hugo Stamm,Born 1904. Connected with the SD and Section IV {Gestapo} Warsaw. Died 1970,291041,,3472486,2.4,Sturmbannführer
Karl Streibel,Specialist Officer attached to Staff Oberabschnitt Ost as referent zbz in Arbeitsstab der Allgemeine SS Lublin; duty as leiter der Ausbildungslager Trawinki in stab SSPF Lublin,60152,,554023,2.4,Sturmbannführer
Karl Otto von Salisch,member of SD; aka Captain von Seidlitz involved in Venlo incident,,,,2.4,Sturmbannführer
Karl Freiherr Michel von Tüßling,Born 27. July 1907 in Tüßling  Bavaria. In 1935 summoned to Berlin; from 1936  personal adjutant of Reichsleiter Philipp Bouhler  who was in charge of Hitler's Chancellery (Kanzlei des Führers) and head of the euthanasia programme Aktion T4[10] SS-Sturmbannführer: 30.01.1941[11] Provided affidavit in 1947 to exonerate war criminal Viktor Brack at the Nuremberg trials.[12],56074,April 1933,1726624,2.4,Sturmbannführer
Carl Værnet,SS major; physician involved in human experiments,,,,2.4,Sturmbannführer
Wernher von Braun,Born 23 March 1912. Allgemeine-SS battalion officer (also SS Horseriding Club). Involved with slave labor in V-2 Program. Died 16 June 1977,185068,1940,5 738 692,2.4,Sturmbannführer
Hans-Georg von Charpentier,Born 16 July 1902. Awarded Knights Cross of the Iron Cross. KIA 9 March 1945,258019,May 1935,1375222,2.4,Sturmbannführer
Johann von Leers,SS Officer and Propagandist,,,,2.4,Sturmbannführer
Dr. Albert Widmann,Born 8 June 1912. Chemist involved in Action T4 killings and human experiments. Arrested 1959-served 6 years 6 months. Died 24 December 1986,351098,December 1939,5454700,2.4,Sturmbannführer
Christian Wirth,Commandant of Bełżec extermination camp,345.464,April 1939,420.383,2.4,Sturmbannführer
Dr. Eduard Wirths,Chief SS doctor (SS-Standortarztat) at the KZ Auschwitz,311.594,1934,,2.4,Sturmbannführer
Herbert Klaus Wölk,Born 21 June 1905. Kriminalrat der Polizei. Served in the staff of the Befehlshaber der Sicherheitspolizei und des SD (BdS) in the Netherlands; head of a Sipo-Sonderkommando; chief Aussenstelle der Sipo and SD in Rotterdam. Sentenced to 20 years imprisonment 24.07.1949 in Den Haag; released 02.08.1957,15.429,,278.643,2.4,Sturmbannführer
Carltheo Zeitschel,Born 13 March 1893. Was the desk officer for Jewish affair (Judenreferent) at the German embassy in Paris  France. Alleged to have been killed 21 April 1945; in 1954 sentenced in absentia for his crimes to lifelong forced labor.,,20 April 1939,,2.4,Sturmbannführer
Egon Zill,Born 28 March 1906 Plauen. Kommandant of Natzweiler-Struthof and Flossenbürg concentration camps. In 1955 sentenced to life imprisonment  later reduced to 15 years. Died 23 October 1974 Dachau  Germany,535,1 August 1926,20.063,2.4,Sturmbannführer
Franz Abromeit,Born 08.08.1907  RSHA. Died 30.06.1964.,272353,,329305,2.5,Hauptsturmführer
Walter Albers,Born 06.08.1905. Sipo Amsterdam  sentenced to 12 years imprisonment 08.11.1949 in Amsterdam (released 22.12.1952),,,,2.5,Hauptsturmführer
Siegfried Assmuss,Date of birth 20.8.1912. SS-Hstuf.20.4.1939; SD-Hauptamt; SD in Lutsk. Killed 22.7.1944; Leader of the Ukrainian Self_Defense Legion. In retaliation for his death  44 villagers of Chłaniów and Władysławin Poland were killed by the Ukrainian Self_Defense Legion.,49 786,,721 802,2.5,Hauptsturmführer
Klaus Barbie,Born 25 October 1913. Head of the Gestapo in Lyon  France. Died in prison 25 September 1991,272 284,26 September 1935,4.583.085.,2.5,Hauptsturmführer
Dr. Bruno Beger,Racial anthropologist who worked for the Ahnenerbe.,,,,2.5,Hauptsturmführer
Peter Bell,Reported to have been killed in Holland on orders of superior Karl Eberhard Schongarth,,,,2.5,Hauptsturmführer
Wolfgang Birkner,Born 27 October 1913. KdS Warschau (Komandeur der Sicherheitspolizei); Kommando SS Bialystok. Killed 24 March 1945,265.793,,3 601 309,2.5,Hauptsturmführer
Hans Carl Christian Blumenthal,Born 1909 in Bremen. Sipo Amsterdam (III) . sentenced to 7 years imprisonment 25.11.1949 in Amsterdam (released 16.02.1951) died 1987,,,,2.5,Hauptsturmführer
Joachim Boosfeld,SS Obersturmführer,362.256,1939,,2.5,Hauptsturmführer
Alois Brunner,Born 08.04.1912  Rohrbrunn  Austria. Commandant of Drancy internment camp. Adolf Eichmann's assistant. Postwar alias Dr. Georg Fischer-resident in Syria. Alleged to have been member of West German BND. In 1989 the Syrian Government declined to extradite him to Germany after the fall of the Berlin Wall. Alleged to have been alive as of 2001. Unknown if still alive.,342767,10 August 1939,510 064,2.5,Hauptsturmführer
Kurt Brunow,Member of the SD,,,,2.5,Hauptsturmführer
Karl Chmielewski,the Devil of Gusen  Schutzhaftlagerführer at Gusen concentration camp  Commandant of Herzogenbusch concentration camp  Tried and convicted in 1961 of war crimes and crimes against humanity and sentenced to Life Imprisonment,63935,1932,1508254,2.5,Hauptsturmführer
Douglas Berneville-Claye,British impostor/forger; member of Staff of III (Germanic) SS Panzer Corps,,,,2.5,Hauptsturmführer
Johannes Max Clemens,Born 9 Feb 1902. Member of SD and postwar a KGB Spy in Gehlen Organization. Tried 1963 in Hans Felfe Trial and sentenced to 10 years. Died 1976.,,,,2.5,Hauptsturmführer
Theodor Dannecker,born 27.03.1913 in Tübingen;  SD Belgium  Sonderkommando Eichmann in Sofia and Hungary. Also worked in Department of Jewish affairs as a jewish specialist with Adolf Eichmann.;-suicide 10.12.1945 in Bad Tölz,,,,2.5,Hauptsturmführer
Heinz Drescher,Kriminalrat der Polizei  Head of Central fingerprint collection with RKPA within RSHA,290306,9.11.1938,,2.5,Hauptsturmführer
Dr. Hans Kurt Eisle,Born 13 March 1913. Assigned to KZ Mauthausen  Buchenwald  Natzweiler-Struthof  Dachau. Arrested April 1945. Tried 13 December 1945. Condemned to death-sentence commuted to life in prison. Released 26 February 1952. Died 3 May 1967 Cairo  Egypt,237 421,1933,3 125 695,2.5,Hauptsturmführer
Rolf Engel,Born 10 August 1912. As a member of the SD  he was stationed in Strasbourg  Member of Peenemünde Army Experimental Institute. ENGEL headed the SS DTS Research Center for Jet Drive in Großendorf near Gdansk. He was a member of the Imperial Research Council. In 1945  he was hired from a prisoner of war camp by the French occupying authority for the Laboratoire de recherches balistiques et aéro-dynamiques  a ballistic missile development center near Paris  where  according to Gerhard Bauch (1962) Cairo) was involved in the development of the Gabriel missile. He was recruited to lead an Egyptian missile program in the 1950s  which failed due to missing components. Died 23 November 1993,,1933,,2.5,Hauptsturmführer
Siegfried Wolfgang Fehmer,SD/Gestapo/Kriminalrat  a police investigator  and headed the infamous Abteilung IV headquartered in Victoria Terrasse  Norway,290166,,181345,2.5,Hauptsturmführer
Henk Feldmeijer,Born Johannes Hendrik Feldmeijer (Assen  30 November 1910) member of the National Socialist Movement in the Netherlands # 479. Commander of the Nederlandsche SS. Served in Waffen-SS. Member of the Sonderkommando-Feldmeijer and the killing of Dutch Resistance members in Operation Silbertanne. {Members of Sonderkommando-Feldmeijer included Heinrich Boere and Klaas Carel Faber}. Killed 22 February 1945,,,,2.5,Hauptsturmführer
Henri Joseph Fenet,Born 11 July 1919. A French collaborator during World War II who was awarded both the Croix de Guerre by France  and the Knight's Cross of the Iron Cross by Nazi Germany. Battle of Berlin  28 April  one-hundred eight Soviet tanks had been destroyed in the southeast of Berlin within the S-Bahn. The French squads under the command of Fenet accounted for about half of the tanks.[5]For the success of the battalion during the Battle of Berlin Fenet was awarded the Knight's Cross of the Iron Cross on 29 April 1945 by Wilhelm Mohnke. Died 14 September 2002,,,,2.5,Hauptsturmführer
Kinrad Fiebig,Born 22 September 1909.,,,,2.5,Hauptsturmführer
Dr. Horst Fischer,Born 31 December 1912. Doctor at KZ Auschwitz. Executed in East Germany 8 July 1966,293.397,1 November 1933,5.370.071,2.5,Hauptsturmführer
Hermann Florstedt,Born 18 February 1895; World War I veteran. Served at KZ Sachsenhausen concentration camp and was Commandant of Majdanek. Charged with embezzlement and killing prisoner witness. Shot by SS 15 April 1945,8.660,May 1931,488.573,2.5,Hauptsturmführer
Friedrich Franz  Hereditary Grand Duke of Mecklenburg-Schwerin,Born 22 April 1910. Aide to Werner Best. Also served in SS Panzer Corps. Died 31 July 2001,,May 1931,,2.5,Hauptsturmführer
Karl Fritzsch,Born 10 July 1903. Member of staffs of KZ Dachau  KZ Auschwitz  and KZ Flossenbürg. Introduced Zyklon B gas into Auschwitz. Involved in death of Saint Maximilian Kolbe. Reported missing 2 May 1945 – unknown if he was killed or survived the war,7287,1930,261135,2.5,Hauptsturmführer
Paul Fuchs,Chief of departments IV A and IV N of Kommandeur der Sicherheitspolizei und des SD (KdS) in Radom. Liaison officer at Polish NSZ staff. After war Fuchs operated with Hubert Jura for the US intelligence network created to work in the newly established countries controlled by the Soviet Union[13],,,,2.5,Hauptsturmführer
Hans Gaier,Born 19 February 1902 Mannheim Germany. (SA-Obersturmbannführer); was also Police Hauptmann (Polizeidirektor) der Schutzpolizei Kielce Poland. Declared Legally dead in May 1954; ironically according to German Wikipedia while hiding under a false name in Graz  Austria Gaier was executed May/June 1945.,,,662.558,2.5,Hauptsturmführer
Wilhelm Gerstenmeier,Born 1908. Involved in Harvest Festival massacre of Jews. Executed 3 December 1944 for war crimes.,13300,,,2.5,Hauptsturmführer
Franz Goering,Served as assistant to Walter Schellenberg from 1944.[8],,,,2.5,Hauptsturmführer
Amon Göth,Commander of the Plaszow concentration camp,43673,1930,510764,2.5,Hauptsturmführer
Viktor Eberhard Gräbner,9th SS Panzer Division Hohenstaufen. Awarded the Knight's Cross. KIA during Operation Market Garden  1944,247812,,,2.5,Hauptsturmführer
Heinrich Hamann,Born 1 September 1908 in Bordesholm. Untersturmführer: 30 January 1937. Ostuf: 12 March 1938. Chief of Grenzpolizeikommisariat Neu Sandez: December 1939 – 12 August 1943. Promoted to Kriminalkommissar in January 1940. Chief of GPK in Jaslo: 12 August 1943 – 1 November 1943. Chief of department IV A of KdS Krakau – 11.1943–01.1945.[Promoted SS-Hstuf:20.04.1944] Sentenced by court in Bochum in 1966 to life imprisonment. Died 16.04.1993,33 531,1931,,2.5,Hauptsturmführer
Oscar Hans,Employee of SD-Hauptamt since 1934. Sent to Norway – Befehlshaber der Sicherheitspolizei und des SD (BdS) Oslo / Leiter I – on 25 April 1940  where he served until May 1945. Arrested 25 May 1945 Kristiansand. Stood trial but was released by the Supreme Court of Norway in August 1947. Tried July–August 1948 by British Military Court in Hamburg (Trandum Case No. 2). Sentenced to 15 years for killing of six British citizens.,101662,1933,,2.5,Hauptsturmführer
Karl Hass,SD member. Participant in the Ardeatine Caves massacre,,1934,,2.5,Hauptsturmführer
Walter Hauck,Born 4 June 1918. Served in German Police. Also served in the 12th SS Panzer Division Hitlerjugend. Involved in the Ascq massacre on 1 April 1944 and a massacre at Leskovice in May 1945. Judged 1949 and sentenced to death; After requests by some widows of the Ascq massacre  his sentence was converted to life imprisonment. Released in July 1957. In 1969 and 1977  Czechoslovakia asked Germany to extradite him for punishment for the second massacre  but these requests were rejected by a Stuttgart court. In 2005  the Czech Republic again asked for his extradition. Died 6 November 2006 in Germany.,382.376,,,2.5,Hauptsturmführer
Gottlieb Hering,In Action T4 and later served as the second and last Commandant of Bełżec extermination camp during Operation Reinhard,,,,2.5,Hauptsturmführer
Dr. Kurt Heissmeyer,Doctor involved in experiments on Jewish children at Bullenhuser Damm,,,,2.5,Hauptsturmführer
Dr. August Hirt,Had Jews gassed for their skeletons,100.414,1 April 1933,,2.5,Hauptsturmführer
Franz Hoessler,K-Z Auschwitz; KZ Bergen Belsen,41.940,1931,1.374.713,2.5,Hauptsturmführer
Wilhelm Gottlieb Hohmann,Born 07 I 1907 Remscheid. SS-Hauptsturmführer und Kriminal; was replaced as head Referat IV 1 (former IV A) KdS Warschau in May 1944 by SS-Hauptsturmführer und Kriminalrat Harald Wiesman; Hohmann died in 1961 of suicide.,,,,2.5,Hauptsturmführer
Dr. Waldemar Hoven,K-Z Buchenwald physician,244.594,1934,,2.5,Hauptsturmführer
Heinz Kessler,SS officer,193182,,,2.5,Hauptsturmführer
Karl Kloskowski,Served in 2nd SS Panzer Division Das Reich and SS Brigade Westfalen,,1936,,2.5,Hauptsturmführer
Franz Konrad,Acquisitions officer Warsaw Ghetto,46204,January 1933,1085499,2.5,Hauptsturmführer
Max Hermann Richard Krahner,1968 sentenced to Life in prison for being a German Overseer of Jewish Sonderkommando 1005,,,,2.5,Hauptsturmführer
Waldemar Kraft,Held Honorary rank in the SS,,,,2.5,Hauptsturmführer
Josef Kramer,Commandant of Bergen-Belsen concentration camp; involved with Dr. August Hirt in killing of Jews in 1943,32.217,20 June 1932,753.597,2.5,Hauptsturmführer
Karl Wilhelm Krause,Born 05/03/1911 Michelau  Prussia. Reichsmarine 1931–34; Hitler's Valet/Orderly 1934–to mid-September 1939; LSSAH 1934-to mid-September 1939; Kriegsmarine in late 1939–1943 and Flak-Zug  II./Pz.Rgt. 12 from Dec. 1943 to 1945. Interred until June 1946; fined and released. Died 6 May 2001,236 858,,,2.5,Hauptsturmführer
Hans Kruger,Born 1909. Arrested 1959 war crimes; tried 1965–1967; sentenced 1968 to life in prison. Released 1986; died 1988.,,,,2.5,Hauptsturmführer
Henri Lafont,Head of the French Gestapo,,,,2.5,Hauptsturmführer
Ewald Lindloff,born 2 September 1908. Served in 1st SS Division LSSAH. Placed in charge of disposing of Hitler's remains on 30 April 1945 by Otto Günsche. KIA 2 May 1945,,1 May 1932,,2.5,Hauptsturmführer
Maximilian List,Commandant of Lager Sylt and Lager Norderney labour camps on Alderney,,,,2.5,Hauptsturmführer
Heinz Macher,Leader of the SS group ordered to blow up the castle Wewelsburg,,,,2.5,Hauptsturmführer
Dr. Josef Mengele,Born 16 March 1911. Medical officer at Auschwitz-Birkenau. Involved with human experiments. Died 7 February 1979,317885,May 1938,5574974,2.5,Hauptsturmführer
Helmut Merz,Born 1911. A Higher Regional Court Councillor from Neustadt an der Weinstraße  In 1957 during the trial of March 1945 Arnsberg Massacre  he denied his own complicity and testified as a witness for the prosecusion.,,,,2.5,Hauptsturmführer
Georg Simon Michaelson,born.13.9.1906. Promoted 30 January 1942. Involved in suppression of the Warsaw Ghetto Uprising April–May 1943; sentenced to 12 years in prison Hamburg Germany 25 July 1974; reported to have died early 1990s.,29337,,103613,2.5,Hauptsturmführer
Erich Priebke,SD and Sicherheitspolizei commander in Rome  Italy,,,,2.5,Hauptsturmführer
Sigmund Rascher,German SS doctor  who carried out deadly experiments on humans in the Nazi concentration camp of Dachau,,1939,,2.5,Hauptsturmführer
Franz Karl Reichleitner,Second and last Commandant of Sobibor extermination camp,357065,,6369213,2.5,Hauptsturmführer
Rudolf Reinecke,SS Totenkopf and SS Frunsberg Divisions Died 1995,,,,2.5,Hauptsturmführer
Eduard Roschmann,Born 25 November 1908. Commandant of the Riga Ghetto; Kommandeur der Sicherheitspolizei und SD IV = Department 4 (Gestapo). Lived in Argentina; Died 8 August 1977 Paraguay,152681,1938,,2.5,Hauptsturmführer
Bernd Rosemeyer,Born 14 October 1909. Stab des SS-Hauptamt; professional race-car driver killed car accident 1 January 1938,214952,1. January 1936,,2.5,Hauptsturmführer
Hermann Schaper,Born 12 August 1911. Kommando SS Zichenau-Schröttersburg. Died after April 2002,3484,1937,105606,2.5,Hauptsturmführer
Dr. Heinrich Schmidt,Born 27 March 1912. SS Physician involved with six KZ Camps. Twice tried for warcCrimes-and acquitted. Died 28 November 2000,23069,1937,555 294,2.5,Hauptsturmführer
Wilhelm Schröder,NSDAP official  first lieutenant of Waffen-SS and a member of Sturmabteilung,177382,,,2.5,Hauptsturmführer
Günther Schwägermann,Adjutant to Dr. Joseph Goebbels.,312.231,,,2.5,Hauptsturmführer
Heinrich Schwarz,Administrative aide to Rudolf Höß. Commandant of Auschwitz III-Monowitz 1943–1945. Commandant of Natzweiler-Struthof 1945,,,,2.5,Hauptsturmführer
Siegfried Seidl,Born 24 August 1911. Commandant of Theresienstadt concentration camp. Executed 4 February 1947,46.106,1932,300.378,2.5,Hauptsturmführer
Alfred Spilker,Originally came to the new Stapoleitstelle Wien in 1938; Sipo-Einsatz in Poland from 1939 to 1944  then returned to Wien.He was last reported at Lilienfeld  April 1945.,,,,2.5,Hauptsturmführer
Franz Stangl,Born 26 March 1908 Commandant of the Sobibor and Treblinka extermination camps;died in prison 28 June 1971,296 569,March 1938,6 370 447,2.5,Hauptsturmführer
Erich Steidtmann,Born 15 November 1914. Commander of 3rd Battalion/Police Regiment 22 during Warsaw Ghetto Uprising; member of German Police Battalion 101 during Aktion Erntefest{harvest Festival massacre}Died 25 July 2010,160 812,,,2.5,Hauptsturmführer
Karl Streibel,born 11 October 1903 Bavaria. Commander of Trawniki concentration camp. Reportedly died 1986.,,1933,,2.5,Hauptsturmführer
Max Teichmann,SS officer,177718,,1977669,2.5,Hauptsturmführer
Richard Thomalla,SS commander; Head of SS central building administration; Lead architect of Operation Reinhard camps,41.206,1932,1.238.872,2.5,Hauptsturmführer
Eduard Paul Tratz,Zoologist and officer in the Ahnenerbe,,,,2.5,Hauptsturmführer
Leo Klaus Volk,Born 2 May 1909. Adjutant for Oswald Pohl. Died 1973,219.415,November 1933,2.639.413,2.5,Hauptsturmführer
Otto Albrecht Alfred von Bolschwing,born 15 October 1909  Schoenbruch. Promoted Hstuf: 30.01.1941  (SD). SS captain and adjutant to Adolf Eichmann. After the war worked for the CIA; lost US citizenship 1981. Died 7 March 1982 in San Francisco  California,353.603,1933,984.212,2.5,Hauptsturmführer
Rudolf von Ribbentrop,Waffen-SS Officer (branch: Panzertruppe),,,,2.5,Hauptsturmführer
Fritz Ritterbusch,Dob 11 January 1894. Served in World War I. Since the spring of 1940 to 30 January 1941 he held an unspecified role in the Division IV camp Flossenbürg KL  where then was transferred to the post of commander of one of the camp guard companies. The camp moved to the headquarters staff of KZ Hinzert  where he was adjutant to the commandant of the camp  Paul Sporrenberga. On 18 June 1943 he moved to KZ Lublin. In the spring of 1944 he was moved to KZ Gross-Rosen where since May 1944 to 13 February 1945 he was company commander and the head of sub Parschnitz in Pozici and AL Trautenau in Trutnov in the Czech Republic. He was arrested by Soviet forces on 1 January 1946. On 25 March 1946 he was sentenced to death by a Soviet Military Tribunal  a special form of a court-martial. On 14 May 1946 Ritterbusch was executed at an unknown place.,9.107,1931,6.317,2.5,Hauptsturmführer
Walter Oscar Wache,Born 17.01.1908. He attended the Humanistische Gymnasium where he studied German and History. In 1928 he was a member of the Freikorps. In 1929 he became leader of the Deutschen Mittelschülerbund Österreichs which later became known as NS-Schülerbund hervorging. In 1932 he joined the NSDAP and the SS. In 1933 he became a teacher. In Austria at that time he was given a criminal record for his political activities and therefore was unable to take a job with the state as a Librarian. In 1934 he obtained a scholarship in Prague to study German Human Sciences  but was arrested for spying and deported to Germany. Granted German citizenship and worked in the RuSHA as a Historical researcher. In October 1936 he became an Assistant at the University of Köln where he became a lecturer and Professor in Middle and Modern History. He worked in a political capacity for the SS. He created film for the university promoting the National Socialist doctrine writing articles in SS-Leithefte at the same time wrote the book/pamphlet 'Judenfibel' as a reference to the Jews. Became a SS Untersturmführer 24.04.1937. In 1938 his work extended with the 'Ahnenerbes'. He was awarded the Iron Cross in 1941. In 1944  served in the SS Division Das Reich. Postwar reported to have settled in Republic of South Africa,80401,1932,1300059,2.5,Hauptsturmführer
Bernhard Wehner,Born 15 December 1909. Led sub-department BI a2 Department V aka Reichskriminalpolizeiamt {Reich Criminal Police Department} of the RSHA under Arthur Nebe. Postwar journalist for Der Spiegel; 1954 head of Düsseldorf Criminal Police Department. Died 31 December 1995,414.073,1942,518.544,2.5,Hauptsturmführer
Hermann Weiser,Waffen-SS captain and recipient of Knight's Cross of the Iron Cross,351242,,,2.5,Hauptsturmführer
Paul Werner,Born 05 IX 1890 Dragass/Dragacz]SS-Hauptsturmführer und Kriminalrat; headed briefly the Referat IV B in 1942. Participated in executions of Poles and Jews in the Warsaw Ghetto ruins.,,,,2.5,Hauptsturmführer
Harald Franz Wiesmann,Born 22 IV 1909 Krefeld. SS-Hauptsturmführer und Kriminalrat. Became head Referat IV 1 (former IV A) KdS Warschau in May 1944(seriously wounded on 20 VII 1944 during a riot in the Gefängnis der SIPO und des SD Pawiak; died 24 IV 1947 Praha],,,,2.5,Hauptsturmführer
Michael Wittmann,Born 22 April 1914. Waffen-SS Panzer ace with the LSSAH (branch: Panzertruppe) KIA 8 August 1944,311623,October 1936,,2.5,Hauptsturmführer
Hans Woellke,Commander of Schutzmannschaft Battalion 118. Killed in combat on 22 March 1943,,,,2.5,Hauptsturmführer
Heinz Barth,Born 15 October 1920. Involved in Oradour-sur-Glane massacre of 1944. Arrested 1981; tried 1983 sentenced to life; released 1997. Died 14 August 2007,458037,10 February 1943,7844901,2.6,Obersturmführer
August Blei,Born 26 August 1893. KZ Mauthaushen. Tried Dachau Trials. Executed 28 May 1947.,454747,,,2.6,Obersturmführer
Johannes Alfred BÖHM,Born 17 II 1912 chief of Referat IV B (Kirchen  Konfessionen und Sekten) KdS Warschau was SS-Obersturmführer und Kriminalkommissar died Dresden – 1999.,,,,2.6,Obersturmführer
Arnold Büscher,Born 16 December 1899. The second and last commandant of the Kraków-Płaszów concentration camp  succeeding Amon Göth  from September 1944 until about January 1945. Executed 2 August 1949,11382,1931,556.757,2.6,Obersturmführer
Rolf Czurda,SD officer in Poland; portrayed in the film Schindler's List,359504,1940(?),,2.6,Obersturmführer
Carl Denhard.,On 2 July 1934 killed SS-Oberabschnittsreiterführer Anton von Hohberg and Buchwald,,,,2.6,Obersturmführer
Heinrich Heinz Georg Alfred Detmers,Born 10 April 1919. Adjutant of KZ Dachau. Died 8 June 1999.,309.930,,5.545.920,2.6,Obersturmführer
Julius Dettmann,Born 23 January 1894 SD Officer and member of Section IV B4 of the Gestapo in Amsterdam Netherlands. Captured. Suicide 25 July 1945,414 783,,722 240,2.6,Obersturmführer
Alfred Driemel,Born 24.08.1907 in Küstrin. Officer at (KZ Dachau  KZ Salza  KZ Buchenwald  KZ Sachsenhausen) executed 19.12.1946 Berlin Germany,,,,2.6,Obersturmführer
Dr. Irmfried Eberl,Born 8 September 1910. Involved in T-4 Euthanasia Program and K-Z Treblinka. Suicide 16 February 1948,,,687095,2.6,Obersturmführer
Paul Egger,Luftwaffe pilot and 102nd SS Heavy Panzer Battalion,,,,2.6,Obersturmführer
